id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override
462639,# 4 - # 7 Plastics,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 330, 'x2': 973, 'y1': 2428, 'y2': 2458}",NULL,NULL,NULL,NULL,NULL,NULL
462640,# 2 Colored Plastics,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 335, 'x2': 978, 'y1': 2362, 'y2': 2392}",NULL,NULL,NULL,NULL,NULL,NULL
462641,# 2 Plastics - Natural Milk Jugs,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 340, 'x2': 983, 'y1': 2293, 'y2': 2323}",NULL,NULL,NULL,NULL,NULL,NULL
462642,# 1 Plastics All # 1 plastic bottles . All other # 1 plastics go with # 4 - # 7 plastics .,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 340, 'x2': 983, 'y1': 2199, 'y2': 2256}",NULL,NULL,NULL,NULL,NULL,NULL
462643,"Aluminum Foil / Aluminum Scrap Must be clean . Includes aluminum foil , pie pans , and frozen food trays . .",2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 340, 'x2': 1042, 'y1': 2128, 'y2': 2188}",NULL,NULL,NULL,NULL,NULL,NULL
462644,Aluminum Beverage Cans Only,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 341, 'x2': 876, 'y1': 2054, 'y2': 2087}",NULL,NULL,NULL,NULL,NULL,NULL
462645,Tin Cans ( includes cat food and EMPTY aerosol cans ),2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 349, 'x2': 884, 'y1': 1962, 'y2': 1995}",NULL,NULL,NULL,NULL,NULL,NULL
462646,Glass,2021-07-13 02:02:07.683,yes,"{'originalSize': {'height': 7662, 'width': 1600}, 'x1': 354, 'x2': 554, 'y1': 1851, 'y2': 1881}",NULL,NULL,NULL,NULL,NULL,NULL
462647,"# 2 Plastic Bags ( Wal - Mart , grocery stores , etc. )",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 53, 'x2': 592, 'y1': 3765, 'y2': 3864}",NULL,NULL,NULL,NULL,NULL,NULL
462648,Phonebooks,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 53, 'x2': 592, 'y1': 3368, 'y2': 3467}",NULL,NULL,NULL,NULL,NULL,NULL
462649,"Fax & Printer Cartridges , Inkjet Cartridges , Toner Cartridges .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 54, 'x2': 593, 'y1': 3264, 'y2': 3382}",NULL,NULL,NULL,NULL,NULL,NULL
462650,"Books : Textbooks , Novels , Paperbacks , Children Books , Ect .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 51, 'x2': 590, 'y1': 3169, 'y2': 3287}",NULL,NULL,NULL,NULL,NULL,NULL
462651,"## 3- # 7 plastic ( odd material such as yogurt containers , butter dishes , etc . ) ... all material has to be rinsed out .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 51, 'x2': 590, 'y1': 3052, 'y2': 3170}",NULL,NULL,NULL,NULL,NULL,NULL
462753,Glass ( food and beverage bottles ) -,2021-07-13 02:46:46.487,yes,"{'originalSize': {'height': 5788, 'width': 1600}, 'x1': 486, 'x2': 835, 'y1': 1161, 'y2': 1197}",NULL,NULL,NULL,NULL,NULL,NULL
462754,"window glass , light bulbs , etc. , are not accepted )",2021-07-13 02:46:46.560,no,"{'originalSize': {'height': 5788, 'width': 1600}, 'x1': 577, 'x2': 1043, 'y1': 1192, 'y2': 1226}",NULL,NULL,NULL,NULL,NULL,NULL
462755,Tin / steel cans,2021-07-13 02:46:46.560,yes,"{'originalSize': {'height': 5788, 'width': 1600}, 'x1': 485, 'x2': 644, 'y1': 1604, 'y2': 1641}",NULL,NULL,NULL,NULL,NULL,NULL
462652,"Beverage Bottles : PETE # 1 Clear soda bottles , green tinted bottles “ Mountain Dew "" type , juice , and or water bottles .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 564, 'y1': 2929, 'y2': 3047}",NULL,NULL,NULL,NULL,NULL,NULL
462653,"HDPE # 2 Colored : Detergent Bottles , Bleach Bottles . Please rinse .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 557, 'y1': 2823, 'y2': 2907}",NULL,NULL,NULL,NULL,NULL,NULL
462654,Milk Jugs : HDPE Natural # 2 ( milk jugs ),2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 557, 'y1': 2742, 'y2': 2826}",NULL,NULL,NULL,NULL,NULL,NULL
462655,Aluminum Foil and Cat Food Cans,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 557, 'y1': 2688, 'y2': 2772}",NULL,NULL,NULL,NULL,NULL,NULL
462656,Aluminum Beverage Cans,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 37, 'x2': 556, 'y1': 2615, 'y2': 2699}",NULL,NULL,NULL,NULL,NULL,NULL
462657,Steel “ Tin ” Cans,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 557, 'y1': 2540, 'y2': 2624}",NULL,NULL,NULL,NULL,NULL,NULL
462658,Mixed Paper : Magazines and anything not mentioned above .,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 38, 'x2': 557, 'y1': 2457, 'y2': 2541}",NULL,NULL,NULL,NULL,NULL,NULL
462659,Corrugated Cardboard,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 43, 'x2': 562, 'y1': 2381, 'y2': 2465}",NULL,NULL,NULL,NULL,NULL,NULL
462660,"Office Mix : envelopes , junk mail , ect .",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 46, 'x2': 565, 'y1': 2307, 'y2': 2391}",NULL,NULL,NULL,NULL,NULL,NULL
462661,"White Office Paper : Printer paper , Computer Greenbar Paper",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 46, 'x2': 565, 'y1': 2229, 'y2': 2313}",NULL,NULL,NULL,NULL,NULL,NULL
462662,Newspaper :,2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 83, 'x2': 211, 'y1': 2134, 'y2': 2177}",NULL,NULL,NULL,NULL,NULL,NULL
462663,"Glass : Green , Brown , and Clear Glass",2021-07-13 02:08:58.447,yes,"{'originalSize': {'height': 13864, 'width': 1992}, 'x1': 83, 'x2': 499, 'y1': 2068, 'y2': 2125}",NULL,NULL,NULL,NULL,NULL,NULL
462664,Glass bottles and jars,2021-07-13 02:13:43.827,yes,"{'originalSize': {'height': 9676, 'width': 1600}, 'x1': 93, 'x2': 495, 'y1': 3418, 'y2': 3509}",NULL,NULL,NULL,NULL,NULL,NULL
462665,Aluminum cans Steel ( tin ) food and beverage cans,2021-07-13 02:13:43.827,yes,"{'originalSize': {'height': 9676, 'width': 1600}, 'x1': 95, 'x2': 497, 'y1': 3274, 'y2': 3365}",NULL,NULL,NULL,NULL,NULL,NULL
462666,Newspaper Office paper Envelopes Junk mail Magazines Catalogs Telephone books Cardboard Chipboard Milk / Juice cartons,2021-07-13 02:13:43.827,yes,"{'originalSize': {'height': 9676, 'width': 1600}, 'x1': 85, 'x2': 387, 'y1': 2905, 'y2': 3241}",NULL,NULL,NULL,NULL,NULL,NULL
462667,Rigid plastics ( # 1-7 ) Plastic bottles Dairy containers Yogurt cups Deli or salad bar clamshells,2021-07-13 02:13:43.827,yes,"{'originalSize': {'height': 9676, 'width': 1600}, 'x1': 90, 'x2': 387, 'y1': 2688, 'y2': 2850}",NULL,NULL,NULL,NULL,NULL,NULL
462668,Paper Plastic,2021-07-13 02:15:19.493,yes,"{'originalSize': {'height': 5038, 'width': 1600}, 'x1': 434, 'x2': 700, 'y1': 1785, 'y2': 1846}",NULL,NULL,NULL,NULL,NULL,NULL
462669,Cardboard,2021-07-13 02:15:19.493,yes,"{'originalSize': {'height': 5038, 'width': 1600}, 'x1': 431, 'x2': 704, 'y1': 1520, 'y2': 1554}",NULL,NULL,NULL,NULL,NULL,NULL
462670,"-No broken dishes , Pyrex , light - bulbs , or window panes",2021-07-13 02:20:48.490,no,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 453, 'x2': 780, 'y1': 1439, 'y2': 1539}",NULL,NULL,NULL,NULL,NULL,NULL
462671,"-No Bags , Styrofoam or PVC Plastic",2021-07-13 02:20:48.490,no,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 451, 'x2': 778, 'y1': 1704, 'y2': 1793}",NULL,NULL,NULL,NULL,NULL,NULL
462672,"-No Food Wrappers , Kleenex or Napkins",2021-07-13 02:20:48.490,no,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 439, 'x2': 766, 'y1': 3165, 'y2': 3254}",NULL,NULL,NULL,NULL,NULL,NULL
462673,Cardboard,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 720, 'x2': 1047, 'y1': 3087, 'y2': 3176}",NULL,NULL,NULL,NULL,NULL,NULL
462675,Paperboard -This includes all paper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 777, 'x2': 1063, 'y1': 2225, 'y2': 2158}",NULL,NULL,NULL,NULL,NULL,NULL
462676,Paperboard -This includes all paper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 777, 'x2': 1063, 'y1': 2225, 'y2': 2158}",NULL,NULL,NULL,NULL,NULL,NULL
462674,"Includes all other paper , such as notebook paper , post - it notes , copy paper , white envelopes , white computer paper , Green Bar , or Blue Bar computer paper are included as well junk mail , etc.",2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 454, 'x2': 778, 'y1': 3249, 'y2': 3525}",NULL,NULL,NULL,NULL,NULL,NULL
462677,Magazines and Catalogs -Can be brought in loose,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 796, 'x2': 1082, 'y1': 2042, 'y2': 1975}",NULL,NULL,NULL,NULL,NULL,NULL
462678,Aluminum Cans -We prefer them not flat,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 790, 'x2': 1076, 'y1': 1931, 'y2': 1864}",NULL,NULL,NULL,NULL,NULL,NULL
462679,Newspaper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 789, 'x2': 1075, 'y1': 1592, 'y2': 1659}",NULL,NULL,NULL,NULL,NULL,NULL
462680,Plastics,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 457, 'x2': 743, 'y1': 1620, 'y2': 1687}",NULL,NULL,NULL,NULL,NULL,NULL
462681,Tin Cans,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 785, 'x2': 1108, 'y1': 1196, 'y2': 1279}",NULL,NULL,NULL,NULL,NULL,NULL
462682,Glass - From Consumable Products Only,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 458, 'x2': 781, 'y1': 1205, 'y2': 1288}",NULL,NULL,NULL,NULL,NULL,NULL
462683,We do not accept number 3 through 7 plastics such as : o All Styrofoam products o Food storage containers o Plastic bags o Plastic pipes,2021-07-13 02:22:27.980,no,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 263, 'x2': 807, 'y1': 1136, 'y2': 1368}",NULL,NULL,NULL,NULL,NULL,NULL
462684,Cardboard,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 204, 'x2': 750, 'y1': 1565, 'y2': 1683}",NULL,NULL,NULL,NULL,NULL,NULL
462685,"Newspaper , Magazines , Office Paper",2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 207, 'x2': 753, 'y1': 1467, 'y2': 1585}",NULL,NULL,NULL,NULL,NULL,NULL
462686,Aluminum & Steel Cans Please rinse all cans . No need to remove labels .,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 205, 'x2': 751, 'y1': 1370, 'y2': 1488}",NULL,NULL,NULL,NULL,NULL,NULL
462687,We accept number 1 and number 2 plastics such as : o Detergent containers o Milk jugs o Peanut butter and similar jars o Soda bottles o Water bottles,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 262, 'x2': 814, 'y1': 794, 'y2': 1070}",NULL,NULL,NULL,NULL,NULL,NULL
462688,Cardboard – Corrugated and pressed cardboard,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 385, 'x2': 1138, 'y1': 1297, 'y2': 1354}",NULL,NULL,NULL,NULL,NULL,NULL
462689,"Mixed Paper / Office Paper - Junk mail , office waste and any other recyclable paper",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 437, 'x2': 1190, 'y1': 1213, 'y2': 1270}",NULL,NULL,NULL,NULL,NULL,NULL
462690,"HDPE # 2 - Plastic , opaque in color – milk and vinegar jugs , rinsed & the lids HDPE # 2 – Plastic , colored - laundry detergent bottles , rinsed & the lids removed PETE # 1 - Plastic , pop bottles , water bottles , and most clear plastics , rinsed & lids",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 437, 'x2': 1190, 'y1': 1054, 'y2': 1223}",NULL,NULL,NULL,NULL,NULL,NULL
462691,Magazines,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 424, 'x2': 803, 'y1': 1020, 'y2': 1056}",NULL,NULL,NULL,NULL,NULL,NULL
462692,Steel cans - Rinsed out,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 428, 'x2': 807, 'y1': 984, 'y2': 1020}",NULL,NULL,NULL,NULL,NULL,NULL
462693,"Glass - containers of any kind and color ,",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 434, 'x2': 813, 'y1': 948, 'y2': 984}",NULL,NULL,NULL,NULL,NULL,NULL
462694,Newspapers,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 441, 'x2': 566, 'y1': 910, 'y2': 943}",NULL,NULL,NULL,NULL,NULL,NULL
462714,"Newspaper , magazines , office paper , books .",2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 349, 'x2': 869, 'y1': 2757, 'y2': 2820}",NULL,NULL,NULL,NULL,NULL,NULL
462715,"Newspaper , magazines , office paper , books .",2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 349, 'x2': 869, 'y1': 2755, 'y2': 2818}",NULL,NULL,NULL,NULL,NULL,NULL
462716,Corrugated cardboard,2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 404, 'x2': 670, 'y1': 2493, 'y2': 2547}",NULL,NULL,NULL,NULL,NULL,NULL
465332,"No lids , No food or liquid residue .",2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 126, 'x2': 630, 'y1': 1656, 'y2': 1708}",NULL,NULL,NULL,NULL,NULL,NULL
465333,. Do not include the caps or lids .,2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 673, 'x2': 1600, 'y1': 1012, 'y2': 1064}",NULL,NULL,NULL,NULL,NULL,NULL
465334,"No Pizza Boxes , cereal boxes , egg cartons , or frozen food packaging .",2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 185, 'x2': 1112, 'y1': 795, 'y2': 847}",NULL,NULL,NULL,NULL,NULL,NULL
465335,"Soda cans , Tin cans and metal food containers .",2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 148, 'x2': 802, 'y1': 1592, 'y2': 1644}",NULL,NULL,NULL,NULL,NULL,NULL
465336,Plastics # 1 and # 2 only !,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 127, 'x2': 505, 'y1': 1376, 'y2': 1428}",NULL,NULL,NULL,NULL,NULL,NULL
465337,"New paper , Magazines and office paper only .",2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 169, 'x2': 783, 'y1': 1164, 'y2': 1214}",NULL,NULL,NULL,NULL,NULL,NULL
465338,Glass bottles and Jars :,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 113, 'x2': 492, 'y1': 940, 'y2': 990}",NULL,NULL,NULL,NULL,NULL,NULL
465339,Flattened Clean Brown Corrugated Cardboard,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 173, 'x2': 796, 'y1': 721, 'y2': 771}",NULL,NULL,NULL,NULL,NULL,NULL
465340,Steel ( tin cans ) Aluminum cans,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1132, 'x2': 1344, 'y1': 1407, 'y2': 1588}",NULL,NULL,NULL,NULL,NULL,NULL
465341,Bottles Jugs # 5 Tubs,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 49, 'x2': 261, 'y1': 1396, 'y2': 1577}",NULL,NULL,NULL,NULL,NULL,NULL
465342,Junk mail Greeting cards ( no foil or glitter ) Magazines Newspaper Phone books Paperback books Paper bags Paperboard,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 482, 'x2': 788, 'y1': 684, 'y2': 1177}",NULL,NULL,NULL,NULL,NULL,NULL
465343,NO LIDS,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 589, 'x2': 808, 'y1': 1069, 'y2': 1115}",NULL,NULL,NULL,NULL,NULL,NULL
465344,Remove all food and liquids from recyclable materials,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 88, 'x2': 845, 'y1': 315, 'y2': 361}",NULL,NULL,NULL,NULL,NULL,NULL
465345,No items smaller than a tennis ball,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 84, 'x2': 621, 'y1': 267, 'y2': 322}",NULL,NULL,NULL,NULL,NULL,NULL
465346,Do not use plastic bags ;,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 84, 'x2': 419, 'y1': 226, 'y2': 281}",NULL,NULL,NULL,NULL,NULL,NULL
465347,Tin and aluminum cans –,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 841, 'x2': 1247, 'y1': 1045, 'y2': 1123}",NULL,NULL,NULL,NULL,NULL,NULL
465348,Rigid plastic bottles and tubs,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 150, 'x2': 580, 'y1': 1046, 'y2': 1124}",NULL,NULL,NULL,NULL,NULL,NULL
465349,Clean boxes & cartons,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 1184, 'x2': 1531, 'y1': 658, 'y2': 736}",NULL,NULL,NULL,NULL,NULL,NULL
465350,Empty paper bags,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 863, 'x2': 1210, 'y1': 656, 'y2': 734}",NULL,NULL,NULL,NULL,NULL,NULL
465351,Newspaper,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 540, 'x2': 887, 'y1': 654, 'y2': 732}",NULL,NULL,NULL,NULL,NULL,NULL
465352,"Flattened cardboard , mail , magazines , mixed paper",2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 88, 'x2': 603, 'y1': 669, 'y2': 750}",NULL,NULL,NULL,NULL,NULL,NULL
465353,Electronic Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 744, 'x2': 910, 'y1': 988, 'y2': 1028}",NULL,NULL,NULL,NULL,NULL,NULL
465354,-Food Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 748, 'x2': 1121, 'y1': 961, 'y2': 1000}",NULL,NULL,NULL,NULL,NULL,NULL
465355,Styrofoam or Paper to - go Containers,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 757, 'x2': 1130, 'y1': 928, 'y2': 967}",NULL,NULL,NULL,NULL,NULL,NULL
465356,Waxed paper or Waxed Cardboard,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 777, 'x2': 1150, 'y1': 895, 'y2': 934}",NULL,NULL,NULL,NULL,NULL,NULL
465357,Stickers or Address Label Sheet Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 777, 'x2': 1150, 'y1': 895, 'y2': 934}",NULL,NULL,NULL,NULL,NULL,NULL
465503,Plastic Bags Batteries Pots & Pans Styrofoam Dairy / Yogurt Cups Cups / Plates / Flatware,2021-07-30 13:40:01.830,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1231, 'x2': 1509, 'y1': 1426, 'y2': 1823}",NULL,NULL,NULL,NULL,NULL,NULL
465504,Cartons,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 105, 'x2': 616, 'y1': 1352, 'y2': 1436}",NULL,NULL,NULL,NULL,NULL,NULL
465505,Metal Cans,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 877, 'x2': 1388, 'y1': 801, 'y2': 885}",NULL,NULL,NULL,NULL,NULL,NULL
465506,Plastic Bottles & Jugs,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 132, 'x2': 643, 'y1': 802, 'y2': 886}",NULL,NULL,NULL,NULL,NULL,NULL
465507,Metal lids can be detached and recycled .,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1020, 'x2': 1531, 'y1': 701, 'y2': 785}",NULL,NULL,NULL,NULL,NULL,NULL
465508,Glass Bottles & Jars,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 928, 'x2': 1439, 'y1': 249, 'y2': 333}",NULL,NULL,NULL,NULL,NULL,NULL
465509,Paper & Cardboard,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 136, 'x2': 647, 'y1': 251, 'y2': 335}",NULL,NULL,NULL,NULL,NULL,NULL
465510,* Car Parts * Paper Milk or Juice Cartons ( Wax Coated ) Styrofoam Container / Packing * Plastic Bags / Plastic Film * Garden Hose / Rubber * Vinyl Siding * TV Cases * Lawn Chairs * Hangers * Medical Waste * ( Syringes / Needles ) * Glass * Please help protect our workers ... WE DO NOT ACCEPT SYRINGES OR NEEDLES . * PVC * Large Toys * Tarps / Pool Covers,2021-07-30 17:47:28.683,no,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 55, 'x2': 1448, 'y1': 2225, 'y2': 2438}",NULL,NULL,NULL,NULL,NULL,NULL
465511,"Kitchen Cookware Metal pots , pans , tins & utensils",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 947, 'x2': 1359, 'y1': 1609, 'y2': 1721}",NULL,NULL,NULL,NULL,NULL,NULL
465512,* Household Plastic ( # 3 - # 7 ) Empty containers only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 1427, 'x2': 1839, 'y1': 1281, 'y2': 1393}",NULL,NULL,NULL,NULL,NULL,NULL
465513,* Aluminum Cans Empty cans only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 954, 'x2': 1366, 'y1': 1276, 'y2': 1388}",NULL,NULL,NULL,NULL,NULL,NULL
465514,* Plastic Jugs / Bottles ( # 1 & # 2 ),2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 1434, 'x2': 1846, 'y1': 956, 'y2': 1068}",NULL,NULL,NULL,NULL,NULL,NULL
465515,* Steel & Tin Cans Empty cans only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 946, 'x2': 1358, 'y1': 956, 'y2': 1068}",NULL,NULL,NULL,NULL,NULL,NULL
465516,Phone Books All types and sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 61, 'x2': 473, 'y1': 1932, 'y2': 2044}",NULL,NULL,NULL,NULL,NULL,NULL
465517,Office Paper All types and sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 458, 'x2': 870, 'y1': 1608, 'y2': 1720}",NULL,NULL,NULL,NULL,NULL,NULL
465518,Magazines & Catalogs All types & sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 55, 'x2': 467, 'y1': 1593, 'y2': 1705}",NULL,NULL,NULL,NULL,NULL,NULL
465519,"Newspaper Remove bags , strings and rubber bands",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 476, 'x2': 888, 'y1': 1270, 'y2': 1382}",NULL,NULL,NULL,NULL,NULL,NULL
465520,Paperboard No wax coated paperboard,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 59, 'x2': 471, 'y1': 1262, 'y2': 1374}",NULL,NULL,NULL,NULL,NULL,NULL
465521,"Junk Mail Envelopes , flyers , brochures , postcards etc.",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 482, 'x2': 894, 'y1': 946, 'y2': 1058}",NULL,NULL,NULL,NULL,NULL,NULL
465522,Cardboard & Paper Bags Flatten cardboard & cut into pieces,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 73, 'x2': 449, 'y1': 948, 'y2': 1060}",NULL,NULL,NULL,NULL,NULL,NULL
465523,Food & Beverage Cartons,2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 678, 'x2': 942, 'y1': 1035, 'y2': 1129}",NULL,NULL,NULL,NULL,NULL,NULL
