id,text,added_datetime,yes_no,image_coordinates,image_url,original_id,page_number,parser_version,model_version,manual_override,token_count,clean_text,tokens
462671,"-No Bags , Styrofoam or PVC Plastic",2021-07-13 02:20:48.490,no,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 451, 'x2': 778, 'y1': 1704, 'y2': 1793}",,,,,,,4.0,"[' no bags ', ' styrofoam or pvc plastic']","['bags', 'styrofoam', 'pvc', 'plastic']"
462672,"-No Food Wrappers , Kleenex or Napkins",2021-07-13 02:20:48.490,no,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 439, 'x2': 766, 'y1': 3165, 'y2': 3254}",,,,,,,4.0,"[' no food wrappers ', ' kleenex or napkins']","['food', 'wrappers', 'kleenex', 'napkins']"
462673,Cardboard,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 720, 'x2': 1047, 'y1': 3087, 'y2': 3176}",,,,,,,1.0,['cardboard'],['cardboard']
462675,Paperboard -This includes all paper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 777, 'x2': 1063, 'y1': 2225, 'y2': 2158}",,,,,,,3.0,['paperboard  this includes all paper'],"['paperboard', 'includes', 'paper']"
462676,Paperboard -This includes all paper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 777, 'x2': 1063, 'y1': 2225, 'y2': 2158}",,,,,,,3.0,['paperboard  this includes all paper'],"['paperboard', 'includes', 'paper']"
462674,"Includes all other paper , such as notebook paper , post - it notes , copy paper , white envelopes , white computer paper , Green Bar , or Blue Bar computer paper are included as well junk mail , etc.",2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 454, 'x2': 778, 'y1': 3249, 'y2': 3525}",,,,,,,22.0,"['includes all other paper ', ' such as notebook paper ', ' post   it notes ', ' copy paper ', ' white envelopes ', ' white computer paper ', ' green bar ', ' or blue bar computer paper are included as well junk mail ', ' etc ']","['includes', 'paper', 'notebook', 'paper', 'post', 'notes', 'copy', 'paper', 'white', 'envelopes', 'white', 'computer', 'paper', 'green', 'bar', 'blue', 'bar', 'computer', 'paper', 'included', 'junk', 'mail']"
462677,Magazines and Catalogs -Can be brought in loose,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 796, 'x2': 1082, 'y1': 2042, 'y2': 1975}",,,,,,,4.0,['magazines and catalogs  can be brought in loose'],"['magazines', 'catalogs', 'brought', 'loose']"
462678,Aluminum Cans -We prefer them not flat,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 790, 'x2': 1076, 'y1': 1931, 'y2': 1864}",,,,,,,4.0,['aluminum cans  we prefer them not flat'],"['aluminum', 'cans', 'prefer', 'flat']"
462679,Newspaper,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 789, 'x2': 1075, 'y1': 1592, 'y2': 1659}",,,,,,,1.0,['newspaper'],['newspaper']
462680,Plastics,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 457, 'x2': 743, 'y1': 1620, 'y2': 1687}",,,,,,,1.0,['plastics'],['plastics']
462681,Tin Cans,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 785, 'x2': 1108, 'y1': 1196, 'y2': 1279}",,,,,,,2.0,['tin cans'],"['tin', 'cans']"
462682,Glass - From Consumable Products Only,2021-07-13 02:20:48.490,yes,"{'originalSize': {'height': 8024, 'width': 1600}, 'x1': 458, 'x2': 781, 'y1': 1205, 'y2': 1288}",,,,,,,3.0,['glass   from consumable products only'],"['glass', 'consumable', 'products']"
462683,We do not accept number 3 through 7 plastics such as : o All Styrofoam products o Food storage containers o Plastic bags o Plastic pipes,2021-07-13 02:22:27.980,no,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 263, 'x2': 807, 'y1': 1136, 'y2': 1368}",,,,,,,16.0,"['we do not accept number   through   plastics such as ', ' o all styrofoam products o food storage containers o plastic bags o plastic pipes']","['accept', 'number', 'plastics', 'o', 'styrofoam', 'products', 'o', 'food', 'storage', 'containers', 'o', 'plastic', 'bags', 'o', 'plastic', 'pipes']"
462684,Cardboard,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 204, 'x2': 750, 'y1': 1565, 'y2': 1683}",,,,,,,1.0,['cardboard'],['cardboard']
462685,"Newspaper , Magazines , Office Paper",2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 207, 'x2': 753, 'y1': 1467, 'y2': 1585}",,,,,,,4.0,"['newspaper ', ' magazines ', ' office paper']","['newspaper', 'magazines', 'office', 'paper']"
462686,Aluminum & Steel Cans Please rinse all cans . No need to remove labels .,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 205, 'x2': 751, 'y1': 1370, 'y2': 1488}",,,,,,,8.0,['aluminum   steel cans please rinse all cans   no need to remove labels  '],"['aluminum', 'steel', 'cans', 'rinse', 'cans', 'need', 'remove', 'labels']"
462687,We accept number 1 and number 2 plastics such as : o Detergent containers o Milk jugs o Peanut butter and similar jars o Soda bottles o Water bottles,2021-07-13 02:22:27.980,yes,"{'originalSize': {'height': 6404, 'width': 1600}, 'x1': 262, 'x2': 814, 'y1': 794, 'y2': 1070}",,,,,,,21.0,"['we accept number   and number   plastics such as ', ' o detergent containers o milk jugs o peanut butter and similar jars o soda bottles o water bottles']","['accept', 'number', 'number', 'plastics', 'o', 'detergent', 'containers', 'o', 'milk', 'jugs', 'o', 'peanut', 'butter', 'similar', 'jars', 'o', 'soda', 'bottles', 'o', 'water', 'bottles']"
462688,Cardboard – Corrugated and pressed cardboard,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 385, 'x2': 1138, 'y1': 1297, 'y2': 1354}",,,,,,,4.0,['cardboard   corrugated and pressed cardboard'],"['cardboard', 'corrugated', 'pressed', 'cardboard']"
462689,"Mixed Paper / Office Paper - Junk mail , office waste and any other recyclable paper",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 437, 'x2': 1190, 'y1': 1213, 'y2': 1270}",,,,,,,10.0,"['mixed paper   office paper   junk mail ', ' office waste and any other recyclable paper']","['mixed', 'paper', 'office', 'paper', 'junk', 'mail', 'office', 'waste', 'recyclable', 'paper']"
462690,"HDPE # 2 - Plastic , opaque in color – milk and vinegar jugs , rinsed & the lids HDPE # 2 – Plastic , colored - laundry detergent bottles , rinsed & the lids removed PETE # 1 - Plastic , pop bottles , water bottles , and most clear plastics , rinsed & lids",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 437, 'x2': 1190, 'y1': 1054, 'y2': 1223}",,,,,,,28.0,"['hdpe       plastic ', ' opaque in color   milk and vinegar jugs ', ' rinsed   the lids hdpe       plastic ', ' colored   laundry detergent bottles ', ' rinsed   the lids removed pete       plastic ', ' pop bottles ', ' water bottles ', ' and most clear plastics ', ' rinsed   lids']","['hdpe', 'plastic', 'opaque', 'color', 'milk', 'vinegar', 'jugs', 'rinsed', 'lids', 'hdpe', 'plastic', 'colored', 'laundry', 'detergent', 'bottles', 'rinsed', 'lids', 'removed', 'pete', 'plastic', 'pop', 'bottles', 'water', 'bottles', 'clear', 'plastics', 'rinsed', 'lids']"
462691,Magazines,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 424, 'x2': 803, 'y1': 1020, 'y2': 1056}",,,,,,,1.0,['magazines'],['magazines']
462692,Steel cans - Rinsed out,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 428, 'x2': 807, 'y1': 984, 'y2': 1020}",,,,,,,3.0,['steel cans   rinsed out'],"['steel', 'cans', 'rinsed']"
462693,"Glass - containers of any kind and color ,",2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 434, 'x2': 813, 'y1': 948, 'y2': 984}",,,,,,,4.0,['glass   containers of any kind and color '],"['glass', 'containers', 'kind', 'color']"
462694,Newspapers,2021-07-13 02:23:35.157,yes,"{'originalSize': {'height': 2968, 'width': 2000}, 'x1': 441, 'x2': 566, 'y1': 910, 'y2': 943}",,,,,,,1.0,['newspapers'],['newspapers']
462714,"Newspaper , magazines , office paper , books .",2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 349, 'x2': 869, 'y1': 2757, 'y2': 2820}",,,,,,,5.0,"['newspaper ', ' magazines ', ' office paper ', ' books  ']","['newspaper', 'magazines', 'office', 'paper', 'books']"
462715,"Newspaper , magazines , office paper , books .",2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 349, 'x2': 869, 'y1': 2755, 'y2': 2818}",,,,,,,5.0,"['newspaper ', ' magazines ', ' office paper ', ' books  ']","['newspaper', 'magazines', 'office', 'paper', 'books']"
462716,Corrugated cardboard,2021-07-13 02:32:06.293,yes,"{'originalSize': {'height': 5074, 'width': 1600}, 'x1': 404, 'x2': 670, 'y1': 2493, 'y2': 2547}",,,,,,,2.0,['corrugated cardboard'],"['corrugated', 'cardboard']"
465332,"No lids , No food or liquid residue .",2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 126, 'x2': 630, 'y1': 1656, 'y2': 1708}",,,,,,,4.0,"['no lids ', ' no food or liquid residue  ']","['lids', 'food', 'liquid', 'residue']"
465333,. Do not include the caps or lids .,2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 673, 'x2': 1600, 'y1': 1012, 'y2': 1064}",,,,,,,3.0,['  do not include the caps or lids  '],"['include', 'caps', 'lids']"
465334,"No Pizza Boxes , cereal boxes , egg cartons , or frozen food packaging .",2021-07-29 22:26:05.397,no,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 185, 'x2': 1112, 'y1': 795, 'y2': 847}",,,,,,,9.0,"['no pizza boxes ', ' cereal boxes ', ' egg cartons ', ' or frozen food packaging  ']","['pizza', 'boxes', 'cereal', 'boxes', 'egg', 'cartons', 'frozen', 'food', 'packaging']"
465335,"Soda cans , Tin cans and metal food containers .",2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 148, 'x2': 802, 'y1': 1592, 'y2': 1644}",,,,,,,7.0,"['soda cans ', ' tin cans and metal food containers  ']","['soda', 'cans', 'tin', 'cans', 'metal', 'food', 'containers']"
465336,Plastics # 1 and # 2 only !,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 127, 'x2': 505, 'y1': 1376, 'y2': 1428}",,,,,,,1.0,['plastics     and     only  '],['plastics']
465337,"New paper , Magazines and office paper only .",2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 169, 'x2': 783, 'y1': 1164, 'y2': 1214}",,,,,,,5.0,"['new paper ', ' magazines and office paper only  ']","['new', 'paper', 'magazines', 'office', 'paper']"
465338,Glass bottles and Jars :,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 113, 'x2': 492, 'y1': 940, 'y2': 990}",,,,,,,3.0,['glass bottles and jars '],"['glass', 'bottles', 'jars']"
465339,Flattened Clean Brown Corrugated Cardboard,2021-07-29 22:26:05.397,yes,"{'originalSize': {'height': 3300, 'width': 2550}, 'x1': 173, 'x2': 796, 'y1': 721, 'y2': 771}",,,,,,,5.0,['flattened clean brown corrugated cardboard'],"['flattened', 'clean', 'brown', 'corrugated', 'cardboard']"
465340,Steel ( tin cans ) Aluminum cans,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1132, 'x2': 1344, 'y1': 1407, 'y2': 1588}",,,,,,,5.0,['steel   tin cans   aluminum cans'],"['steel', 'tin', 'cans', 'aluminum', 'cans']"
465341,Bottles Jugs # 5 Tubs,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 49, 'x2': 261, 'y1': 1396, 'y2': 1577}",,,,,,,3.0,['bottles jugs     tubs'],"['bottles', 'jugs', 'tubs']"
465342,Junk mail Greeting cards ( no foil or glitter ) Magazines Newspaper Phone books Paperback books Paper bags Paperboard,2021-07-29 22:31:49.927,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 482, 'x2': 788, 'y1': 684, 'y2': 1177}",,,,,,,15.0,['junk mail greeting cards   no foil or glitter   magazines newspaper phone books paperback books paper bags paperboard'],"['junk', 'mail', 'greeting', 'cards', 'foil', 'glitter', 'magazines', 'newspaper', 'phone', 'books', 'paperback', 'books', 'paper', 'bags', 'paperboard']"
465343,NO LIDS,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 589, 'x2': 808, 'y1': 1069, 'y2': 1115}",,,,,,,1.0,['no lids'],['lids']
465344,Remove all food and liquids from recyclable materials,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 88, 'x2': 845, 'y1': 315, 'y2': 361}",,,,,,,5.0,['remove all food and liquids from recyclable materials'],"['remove', 'food', 'liquids', 'recyclable', 'materials']"
465345,No items smaller than a tennis ball,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 84, 'x2': 621, 'y1': 267, 'y2': 322}",,,,,,,4.0,['no items smaller than a tennis ball'],"['items', 'smaller', 'tennis', 'ball']"
465346,Do not use plastic bags ;,2021-07-29 22:34:19.430,no,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 84, 'x2': 419, 'y1': 226, 'y2': 281}",,,,,,,3.0,['do not use plastic bags  '],"['use', 'plastic', 'bags']"
465347,Tin and aluminum cans –,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 841, 'x2': 1247, 'y1': 1045, 'y2': 1123}",,,,,,,3.0,['tin and aluminum cans  '],"['tin', 'aluminum', 'cans']"
465348,Rigid plastic bottles and tubs,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 150, 'x2': 580, 'y1': 1046, 'y2': 1124}",,,,,,,4.0,['rigid plastic bottles and tubs'],"['rigid', 'plastic', 'bottles', 'tubs']"
465349,Clean boxes & cartons,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 1184, 'x2': 1531, 'y1': 658, 'y2': 736}",,,,,,,3.0,['clean boxes   cartons'],"['clean', 'boxes', 'cartons']"
465350,Empty paper bags,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 863, 'x2': 1210, 'y1': 656, 'y2': 734}",,,,,,,2.0,['empty paper bags'],"['paper', 'bags']"
465351,Newspaper,2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 540, 'x2': 887, 'y1': 654, 'y2': 732}",,,,,,,1.0,['newspaper'],['newspaper']
465352,"Flattened cardboard , mail , magazines , mixed paper",2021-07-29 22:34:19.430,yes,"{'originalSize': {'height': 2150, 'width': 1675}, 'x1': 88, 'x2': 603, 'y1': 669, 'y2': 750}",,,,,,,6.0,"['flattened cardboard ', ' mail ', ' magazines ', ' mixed paper']","['flattened', 'cardboard', 'mail', 'magazines', 'mixed', 'paper']"
465353,Electronic Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 744, 'x2': 910, 'y1': 988, 'y2': 1028}",,,,,,,2.0,['electronic waste'],"['electronic', 'waste']"
465354,-Food Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 748, 'x2': 1121, 'y1': 961, 'y2': 1000}",,,,,,,2.0,[' food waste'],"['food', 'waste']"
465355,Styrofoam or Paper to - go Containers,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 757, 'x2': 1130, 'y1': 928, 'y2': 967}",,,,,,,3.0,['styrofoam or paper to   go containers'],"['styrofoam', 'paper', 'containers']"
465356,Waxed paper or Waxed Cardboard,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 777, 'x2': 1150, 'y1': 895, 'y2': 934}",,,,,,,4.0,['waxed paper or waxed cardboard'],"['waxed', 'paper', 'waxed', 'cardboard']"
465357,Stickers or Address Label Sheet Waste,2021-07-29 22:41:57.430,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 777, 'x2': 1150, 'y1': 895, 'y2': 934}",,,,,,,5.0,['stickers or address label sheet waste'],"['stickers', 'address', 'label', 'sheet', 'waste']"
465503,Plastic Bags Batteries Pots & Pans Styrofoam Dairy / Yogurt Cups Cups / Plates / Flatware,2021-07-30 13:40:01.830,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1231, 'x2': 1509, 'y1': 1426, 'y2': 1823}",,,,,,,12.0,['plastic bags batteries pots   pans styrofoam dairy   yogurt cups cups   plates   flatware'],"['plastic', 'bags', 'batteries', 'pots', 'pans', 'styrofoam', 'dairy', 'yogurt', 'cups', 'cups', 'plates', 'flatware']"
465504,Cartons,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 105, 'x2': 616, 'y1': 1352, 'y2': 1436}",,,,,,,1.0,['cartons'],['cartons']
465505,Metal Cans,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 877, 'x2': 1388, 'y1': 801, 'y2': 885}",,,,,,,2.0,['metal cans'],"['metal', 'cans']"
465506,Plastic Bottles & Jugs,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 132, 'x2': 643, 'y1': 802, 'y2': 886}",,,,,,,3.0,['plastic bottles   jugs'],"['plastic', 'bottles', 'jugs']"
465507,Metal lids can be detached and recycled .,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1020, 'x2': 1531, 'y1': 701, 'y2': 785}",,,,,,,4.0,['metal lids can be detached and recycled  '],"['metal', 'lids', 'detached', 'recycled']"
465508,Glass Bottles & Jars,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 928, 'x2': 1439, 'y1': 249, 'y2': 333}",,,,,,,3.0,['glass bottles   jars'],"['glass', 'bottles', 'jars']"
465509,Paper & Cardboard,2021-07-30 13:40:01.830,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 136, 'x2': 647, 'y1': 251, 'y2': 335}",,,,,,,2.0,['paper   cardboard'],"['paper', 'cardboard']"
465510,* Car Parts * Paper Milk or Juice Cartons ( Wax Coated ) Styrofoam Container / Packing * Plastic Bags / Plastic Film * Garden Hose / Rubber * Vinyl Siding * TV Cases * Lawn Chairs * Hangers * Medical Waste * ( Syringes / Needles ) * Glass * Please help protect our workers ... WE DO NOT ACCEPT SYRINGES OR NEEDLES . * PVC * Large Toys * Tarps / Pool Covers,2021-07-30 17:47:28.683,no,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 55, 'x2': 1448, 'y1': 2225, 'y2': 2438}",,,,,,,42.0,['  car parts   paper milk or juice cartons   wax coated   styrofoam container   packing   plastic bags   plastic film   garden hose   rubber   vinyl siding   tv cases   lawn chairs   hangers   medical waste     syringes   needles     glass   please help protect our workers     we do not accept syringes or needles     pvc   large toys   tarps   pool covers'],"['car', 'parts', 'paper', 'milk', 'juice', 'cartons', 'wax', 'coated', 'styrofoam', 'container', 'packing', 'plastic', 'bags', 'plastic', 'film', 'garden', 'hose', 'rubber', 'vinyl', 'siding', 'tv', 'cases', 'lawn', 'chairs', 'hangers', 'medical', 'waste', 'syringes', 'needles', 'glass', 'help', 'protect', 'workers', 'accept', 'syringes', 'needles', 'pvc', 'large', 'toys', 'tarps', 'pool', 'covers']"
465511,"Kitchen Cookware Metal pots , pans , tins & utensils",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 947, 'x2': 1359, 'y1': 1609, 'y2': 1721}",,,,,,,7.0,"['kitchen cookware metal pots ', ' pans ', ' tins   utensils']","['kitchen', 'cookware', 'metal', 'pots', 'pans', 'tins', 'utensils']"
465512,* Household Plastic ( # 3 - # 7 ) Empty containers only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 1427, 'x2': 1839, 'y1': 1281, 'y2': 1393}",,,,,,,3.0,['  household plastic               empty containers only'],"['household', 'plastic', 'containers']"
465513,* Aluminum Cans Empty cans only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 954, 'x2': 1366, 'y1': 1276, 'y2': 1388}",,,,,,,3.0,['  aluminum cans empty cans only'],"['aluminum', 'cans', 'cans']"
465514,* Plastic Jugs / Bottles ( # 1 & # 2 ),2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 1434, 'x2': 1846, 'y1': 956, 'y2': 1068}",,,,,,,3.0,['  plastic jugs   bottles              '],"['plastic', 'jugs', 'bottles']"
465515,* Steel & Tin Cans Empty cans only,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 946, 'x2': 1358, 'y1': 956, 'y2': 1068}",,,,,,,4.0,['  steel   tin cans empty cans only'],"['steel', 'tin', 'cans', 'cans']"
465516,Phone Books All types and sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 61, 'x2': 473, 'y1': 1932, 'y2': 2044}",,,,,,,4.0,['phone books all types and sizes'],"['phone', 'books', 'types', 'sizes']"
465517,Office Paper All types and sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 458, 'x2': 870, 'y1': 1608, 'y2': 1720}",,,,,,,4.0,['office paper all types and sizes'],"['office', 'paper', 'types', 'sizes']"
465518,Magazines & Catalogs All types & sizes,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 55, 'x2': 467, 'y1': 1593, 'y2': 1705}",,,,,,,4.0,['magazines   catalogs all types   sizes'],"['magazines', 'catalogs', 'types', 'sizes']"
465519,"Newspaper Remove bags , strings and rubber bands",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 476, 'x2': 888, 'y1': 1270, 'y2': 1382}",,,,,,,6.0,"['newspaper remove bags ', ' strings and rubber bands']","['newspaper', 'remove', 'bags', 'strings', 'rubber', 'bands']"
465520,Paperboard No wax coated paperboard,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 59, 'x2': 471, 'y1': 1262, 'y2': 1374}",,,,,,,4.0,['paperboard no wax coated paperboard'],"['paperboard', 'wax', 'coated', 'paperboard']"
465521,"Junk Mail Envelopes , flyers , brochures , postcards etc.",2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 482, 'x2': 894, 'y1': 946, 'y2': 1058}",,,,,,,6.0,"['junk mail envelopes ', ' flyers ', ' brochures ', ' postcards etc ']","['junk', 'mail', 'envelopes', 'flyers', 'brochures', 'postcards']"
465522,Cardboard & Paper Bags Flatten cardboard & cut into pieces,2021-07-30 17:47:28.683,yes,"{'originalSize': {'height': 6830, 'width': 5280}, 'x1': 73, 'x2': 449, 'y1': 948, 'y2': 1060}",,,,,,,7.0,['cardboard   paper bags flatten cardboard   cut into pieces'],"['cardboard', 'paper', 'bags', 'flatten', 'cardboard', 'cut', 'pieces']"
465523,Food & Beverage Cartons,2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 678, 'x2': 942, 'y1': 1035, 'y2': 1129}",,,,,,,3.0,['food   beverage cartons'],"['food', 'beverage', 'cartons']"
465524,Plastic Bottles & Containers,2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 95, 'x2': 359, 'y1': 699, 'y2': 793}",,,,,,,3.0,['plastic bottles   containers'],"['plastic', 'bottles', 'containers']"
465525,NO PLASTIC NO HOSES NO TO GO NO HOUSEHOLD BAGS OR CORDS CONTAINERS OR BULKY ITEMS,2021-07-30 17:53:04.880,no,"{'originalSize': {'height': 4980, 'width': 1600}, 'x1': 258, 'x2': 710, 'y1': 855, 'y2': 914}",,,,,,,8.0,['no plastic no hoses no to go no household bags or cords containers or bulky items'],"['plastic', 'hoses', 'household', 'bags', 'cords', 'containers', 'bulky', 'items']"
465527,CANS Aluminum and Steel,2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 4980, 'width': 1600}, 'x1': 1038, 'x2': 1345, 'y1': 925, 'y2': 971}",,,,,,,3.0,['cans aluminum and steel'],"['cans', 'aluminum', 'steel']"
465528,GLASS Bottles and Jars,2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 4980, 'width': 1600}, 'x1': 1027, 'x2': 1334, 'y1': 780, 'y2': 826}",,,,,,,3.0,['glass bottles and jars'],"['glass', 'bottles', 'jars']"
465529,"PAPER Mail , Newspapers , Magazines , Cereal Boxes , Cardboard",2021-07-30 17:53:04.880,yes,"{'originalSize': {'height': 4980, 'width': 1600}, 'x1': 722, 'x2': 1029, 'y1': 781, 'y2': 827}",,,,,,,7.0,"['paper mail ', ' newspapers ', ' magazines ', ' cereal boxes ', ' cardboard']","['paper', 'mail', 'newspapers', 'magazines', 'cereal', 'boxes', 'cardboard']"
465530,PLASTIC SLEEK SON WATER COLA SHAMPOO HANG வா MILK FRESH & CLEAN DETERGENT BUTTER YOGURT,2021-07-30 17:56:23.920,yes,"{'originalSize': {'height': 5886, 'width': 1600}, 'x1': 810, 'x2': 1433, 'y1': 1768, 'y2': 2192}",,,,,,,13.0,['plastic sleek son water cola shampoo hang    milk fresh   clean detergent butter yogurt'],"['plastic', 'sleek', 'son', 'water', 'cola', 'shampoo', 'hang', 'milk', 'fresh', 'clean', 'detergent', 'butter', 'yogurt']"
465531,Clothing Batteries Plastic Bags Pots & Pans,2021-07-30 17:56:23.920,no,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 1374, 'x2': 1629, 'y1': 1463, 'y2': 1937}",,,,,,,6.0,['clothing batteries plastic bags pots   pans'],"['clothing', 'batteries', 'plastic', 'bags', 'pots', 'pans']"
465532,CARTONS Chocolate SOV Fresh Drink Taste Low fat non datory drunk 100 % OLANGE JUI APPLE JUICE TOOMICE Halloon 64 11 ( 1190 ) Chartere mik,2021-07-30 17:56:23.920,yes,"{'originalSize': {'height': 2200, 'width': 1700}, 'x1': 262, 'x2': 896, 'y1': 1451, 'y2': 1925}",,,,,,,19.0,['cartons chocolate sov fresh drink taste low fat non datory drunk       olange jui apple juice toomice halloon                chartere mik'],"['cartons', 'chocolate', 'sov', 'fresh', 'drink', 'taste', 'low', 'fat', 'non', 'datory', 'drunk', 'olange', 'jui', 'apple', 'juice', 'toomice', 'halloon', 'chartere', 'mik']"
